Timestamp,"Suppose that, over the time period the match was active, GiveDirectly raised >>>$4.5 million.<<< If you had donated $10 to GiveDirectly at that time, how much MORE MONEY would they have received than if you had not donated anything? (This includes both money that you donated, and money that Good Ventures donated that would otherwise not have been donated.)","Suppose that, over the time period the match was active, GiveDirectly raised >>>$5.1 million.<<< If you had donated $10 to GiveDirectly at that time, how much MORE MONEY would they have received than if you had not donated anything? (This includes both money that you donated, and money that Good Ventures donated that would otherwise not have been donated.)","How much would you donate, if GiveDirectly had raised >>>$4.5 million<<< that was eligible for the match?",$5.1 million?,"How much would you donate, if GiveDirectly had raised >>>$5.1 million<<< that was eligible for the match?","How much would you donate, if GiveDirectly had raised $4.5 million in response to the challenge?","How much would you donate, if GiveDirectly had raised >>>$5.1 million<<< in response to the challenge?","How much would you donate, if GiveDirectly had raised >>>$4.5 million<<< in response to the challenge?","Suppose that, over the time period the match was active, HEA raised >>>$4,500.<<< If you had donated $10 to the fundraiser at that time, how much MORE MONEY do you think GiveWell's top charities would have received, than if you had not donated anything? (This includes both money that you donated, and money that HEA's anonymous donor donated that would otherwise not have been donated.)","Suppose that, over the time period the match was active, HEA raised >>>$5,100.<<< If you had donated $10 to the fundraiser at that time, how much MORE MONEY do you think GiveWell's top charities would have received, than if you had not donated anything? (This includes both money that you donated, and money that HEA's anonymous donor donated that would otherwise not have been donated.)","How much would you donate, if HEA had raised >>>$4,500<<< that was eligible for the match?","It is January 31st, 2014, 30 minutes before the match expires. HEA has raised >>>$4,500<<< eligible for the match. You are considering donating. How much would you donate?","It is January 20th, 2014, 30 minutes before the match expires. HEA has raised >>>$5,100<<< eligible for the match. You are considering donating. How much would you donate?","How much would you donate, if HEA had raised >>>$5,100<<< that was eligible for the match?","How much would you donate, if HEA had raised >>>$4,500<<< in response to the challenge?","How much would you donate, if HEA had raised >>>$5,100<<< in response to the challenge?","Please type ""I am thinking of a specific friend"" into the box below to confirm that you are thinking of a specific friend.","Suppose that, over the time period the match was active, your friend raised >>>$4,500.<<< If you had donated $10 to the fundraiser at that time, how much MORE MONEY do you think Cute Puppies for Orphans would have received, than if you had not donated anything? (This includes both money that you donated, and money that your friend donated that would otherwise not have been donated.)","Suppose that, over the time period the match was active, your friend raised >>>$5,100.<<< If you had donated $10 to the fundraiser at that time, how much MORE MONEY do you think Cute Puppies for Orphans would have received, than if you had not donated anything? (This includes both money that you donated, and money that your friend donated that would otherwise not have been donated.)","How much would you donate, if your friend had raised >>>$4,500<<< that was eligible for the match?","How much would you donate, if your friend had raised >>>$4,500<<< in response to the challenge?","How much would you donate, if your friend had raised >>>$5,100<<< in response to the challenge?","How much would you donate, if your friend had raised >>>$5,100<<< that was eligible for the match?",How familiar are you with effective altruism?,How familiar are you with charity fundraisers?,I perceive Good Ventures as...,I would describe Good Ventures as...,I would describe Good Ventures as...,I would describe HEA as...,I would describe HEA as...,I would describe HEA as...,I would describe the friend I'm thinking of as...,I would describe the friend I'm thinking of as...,I would describe the friend I'm thinking of as...,How familiar are you with effective altruism?,"How familiar are you with the idea of a counterfactual, or counterfactual reasoning?",How familiar are you with the idea of utilitarianism?,My level of familiarity with Good Ventures is...,My level of familiarity with HEA is...,"If I learned that funds put up for a matching campaign would be donated regardless of whether the match was fulfilled--for instance, that Good Ventures would have given $5 million to GiveDirectly even if they had raised only $4 million from the public--I would feel...",,,,Untitled Question,17
2/12/2015 19:25:23,10,10,0,,0,,0,0,10,10,0,,,0,0,0,I am thinking of a specific friend,10,10,0,0,0,0,5,4,4,,,3,,,5,,,,5,5,5,2,1,,,,,0
2/12/2015 19:26:51,20,10,0,,0,,0,0,20,10,0,,,0,0,0,I am thinking of a specific friend,20,10,0,0,0,0,4,1,3,,,3,,,5,,,,4,4,1,4,1,,,,,0
2/12/2015 19:27:09,20,10,25,,25,,25,25,20,10,25,,,25,25,25,I am thinking of a specific friend,20,10,10,10,10,10,5,4,4,,,4,,,5,,,,5,5,4,4,2,,,,,0
2/12/2015 19:41:11,20,10,100,,100,,100,100,20,10,100,,,100,100,100,I am thinking of a specific friend,20,10,100,100,100,100,2,2,3,,,3,,,5,,,,2,3,1,1,2,,,,,0
2/12/2015 19:45:53,20,10,50,,50,,50,50,20,10,50,,,50,50,50,I am thinking of a specific friend,20,10,50,50,50,50,4,3,3,,,4,,,5,,,,5,4,1,2,4,,,,,1
2/12/2015 20:02:04,20,10,0,,0,,0,0,20,10,0,,,0,0,0,I am thinking of a specific friend,17.5,10,0,0,0,0,5,2,5,,,4,,,4,,,,5,5,4,2,5,,,,,1
2/12/2015 20:19:53,20,20,40,,50,,50,50,20,20,5,,,10,20,30,I am thinking of a specific friend,20,20,300,500,100,250,4,4,3,,,4,,,5,,,,5,5,1,4,5,,,,,1
2/12/2015 20:30:45,20,10,0,,0,,0,0,20,10,0,,,0,0,0,I am thinking of a specific friend,20,10,500,501,0,400,4,3,3,,,4,,,5,,,,5,5,1,3,2,,,,,0
2/12/2015 20:38:44,20,10,100,,100,,100,100,20,10,100,,,100,100,100,I am thinking of a specific friend,20,10,500,500,500,500,3,4,3,,,3,,,5,,,,4,3,1,1,1,,,,,0
2/12/2015 20:43:24,20,10,10,,10,,0,10,20,10,10,,,10,20,10,I am thinking of a specific friend.,20,10,20,20,10,10,3,3,4,,,4,,,5,,,,2,4,1,1,4,,,,,1
2/12/2015 20:43:27,20,10,0,,0,,0,0,20,10,0,,,0,0,0,I am thinking of a specific friend,20,10,0,0,0,0,4,2,3,,,3,,,5,,,,4,4,1,1,5,,,,,1
2/12/2015 21:14:13,20,11,30,,0,,0,10,20,11,10,,,0,5,0,I am thinking of a specific friend,20,11,2,0,0,0,5,3,4,,,4,,,5,,,,5,5,3,3,4,,,,,1
2/12/2015 22:19:08,20,10,20,,0,,0,0,20,10,0,,,0,0,0,I am thinking of a specific friend,20,10,50,25,25,25,3,4,3,,,3,,,5,,,,2,2,2,1,1,,,,,0
2/12/2015 22:31:56,20,19,0,,0,,0,1,10,10,0,,,0,1,0,I am thinking of a specific friend who is not named Ben,10,10,25,30,10,25,3,4,3,,,4,,,5,,,,2,4,1,3,2,,,,,0
2/12/2015 22:36:07,20,10,0,,0,,0,0,20,10,0,,,0,0,0,I am thinking of a specific friend,20,10,0,0,0,0,5,3,1,,,5,,,4,,,,5,4,1,2,5,,,,,1
2/12/2015 22:58:12,10,10,10,,20,,20,20,0,10,10,,,20,10,20,I am thinking of a specific friend ,20,10,250,300,100,50,4,4,3,,,3,,,4,,,,3,3,1,2,5,,,,,1
2/12/2015 23:32:51,10,10,0,,0,,0,0,10,10,0,,,0,0,0,I am thinking of a specific friend,10,10,0,0,0,0,3,3,3,,,3,,,5,,,,1,1,1,1,2,,,,,0
